run_id,source_step,phase,pair_id,condition_side,condition,workload_id,repetition,safety_enabled,attempt,duration_seconds,forecast_aligned_seconds,mae_rps,rmse_rps,bias_rps,transition_mae_rps,desired_replica_mae,desired_replica_bias,deficient_replica_seconds,excess_replica_seconds,ready_deficient_replica_seconds,scale_action_count,scale_up_action_count,scale_down_action_count,churn_magnitude_replicas,slo_violation_seconds,slo_violation_rate,slo_episode_count,maximum_slo_episode_seconds,latency_violation_seconds,failure_violation_seconds,completion_violation_seconds,request_count,request_p99_latency_ms,request_failure_count,request_failure_rate,mean_cpu_cores,max_cpu_cores,mean_readiness_delay_seconds,max_readiness_delay_seconds,readiness_delay_observations,pod_created_count,pod_ready_transition_count,ready_source,pod_event_source,normalized_kubernetes_record_coverage_ratio,kubernetes_snapshot_valid_ratio
final-p05-a-r03-s0,step15,primary,pair-05-shape,a,sharpened,periodic-triangle-v1,3,False,1,720,714,0.29956431372549036,0.7266810425875311,1.3932210505100003e-16,0.33865745666666686,0.0,0.0,0,0,0,22,11,11,22,105,0.14583333333333334,100,2,0,0,105,28500,32.00955999999991,0,0.0,0.5020444410144154,0.7394266850768247,1.0909090909090908,2,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p04-a-r03-s0,step15,primary,pair-04-location,a,stable_period_error,gradual-ramp-v1,3,False,2,480,474,1.0126582278481013,2.8462722678592804,1.0126582278481013,0.0,0.11458333333333333,0.11458333333333333,0,55,0,5,3,2,5,60,0.125,58,2,0,0,60,19350,32.767039999999994,0,0.0,0.5202360349336577,0.8350920066355176,1.0,1,3,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9979166666666667,1.0
final-p06-b-r03-s0,step15,primary,pair-06-timing_periodic,b,late_event,periodic-triangle-v1,3,False,1,720,714,6.5294117815126045,7.361835586127132,0.0,7.667916686666666,0.4583333333333333,0.0,165,165,109,22,11,11,22,104,0.14444444444444443,99,2,0,0,104,28500,34.265399999999936,0,0.0,0.5102688854559515,0.7473479531222216,0.9090909090909091,1,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9944444444444445,1.0
final-oracle-sustain-r03-s0,step15,reference,reference-oracle,reference,oracle,sustained-peak-v1,3,False,1,360,354,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1,3,6,9,0.025,9,1,0,0,9,15300,37.280550000000034,0,0.0,0.5389599183734092,0.8376769698586047,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9888888888888889,1.0
final-p02-b-r03-s0,step15,primary,pair-02-duration,b,shortened_peak,sustained-peak-v1,3,False,1,360,354,2.9661016949152543,10.188893920442684,-2.9661016949152543,0.0,0.25,-0.25,90,0,19,4,1,3,6,19,0.05277777777777778,9,11,10,2,13,15300,1673.67343,47,0.0030718954248366015,0.536619853945395,0.8428427843241295,2.0,2,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p03-a-r03-s0,step15,primary,pair-03-event_presence,a,false_peak,narrow-spike-v1,3,False,1,180,174,6.0344827586206895,14.532958974404494,6.0344827586206895,0.0,0.6666666666666666,0.6666666666666666,0,120,0,4,1,3,6,5,0.027777777777777776,5,1,0,0,5,5550,31.703640000000036,0,0.0,0.3563603881153149,0.6758675823520593,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9722222222222222,1.0
final-p04-b-r03-s0,step15,primary,pair-04-location,b,transition_period_error,gradual-ramp-v1,3,False,2,480,474,1.0126582278481013,2.8462722678592804,1.0126582278481013,1.6,0.1375,0.1375,0,66,0,6,3,3,6,64,0.13333333333333333,62,2,0,0,64,19350,32.98460999999998,0,0.0,0.5201877449560767,0.8334344008611316,1.3333333333333333,2,3,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p01-a-r03-s0,step15,primary,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,3,False,1,360,354,5.0,5.0,-5.0,5.0,0.5861111111111111,-0.5861111111111111,211,0,180,3,1,2,4,13,0.03611111111111111,13,1,0,0,13,15300,47.143049999999995,0,0.0,0.5424139605699014,0.8352865779598526,1.0,1,1,2,2,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9888888888888889,1.0
final-p01-b-r03-s0,step15,primary,pair-01-direction_bias,b,persistent_positive_bias,sustained-peak-v1,3,False,1,360,354,5.0,5.0,5.0,5.0,0.0,0.0,0,0,0,4,1,3,6,13,0.03611111111111111,13,1,0,0,13,15300,34.80363000000001,0,0.0,0.5402669346133178,0.8382138803075271,2.0,2,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p05-b-r03-s0,step15,primary,pair-05-shape,b,smoothed,periodic-triangle-v1,3,False,2,720,714,0.29956431372549036,0.726681042587531,-1.3932210505100003e-16,0.33865745666666686,0.0,0.0,0,0,0,22,11,11,22,100,0.1388888888888889,95,2,0,0,100,28500,31.928029999999996,0,0.0,0.5069311588819896,0.7391610340449138,1.4545454545454546,2,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p02-a-r04-s0,step15,primary,pair-02-duration,a,extended_peak,sustained-peak-v1,4,False,1,360,354,2.9661016949152543,10.188893920442684,2.9661016949152543,17.5,0.25,0.25,0,90,0,4,1,3,6,23,0.06388888888888888,23,1,0,0,23,15300,34.32847000000001,0,0.0,0.546545054279407,0.8431274030597178,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9805555555555555,1.0
