candidate_id,group,side,semantic,trace_id,mae_rps,rmse_rps,signed_bias_rps,maximum_absolute_error_rps,region_mae_rps,changed_decisions,peak_timing_error_s,peak_amplitude_error_rps,duration_error_s,parameters_json,forecast_path,forecast_sha256
gradual-ramp-v1__location__stable__duration_s-30-magnitude_rps-10-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.625,2.5,0.625,10,10,30,0,0,0,"{""duration_s"":30,""magnitude_rps"":10,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-30-magnitude_rps-10-start_s-420.forecast.csv,317df1e3f48ebda8039e7fd91e9a987f4fc42d573bf42770c415b96e9fd2d068
gradual-ramp-v1__location__transition__duration_s-30-magnitude_rps-10-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.625,2.5,0.625,10,10,30,0,0,0,"{""duration_s"":30,""magnitude_rps"":10,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-30-magnitude_rps-10-start_s-60.forecast.csv,f9ea47546b08525656bb83416958294a477f0521e53f41f1edf8c12437594398
gradual-ramp-v1__location__stable__duration_s-45-magnitude_rps-4-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.375,1.22474487139,0.375,4,4,45,0,0,0,"{""duration_s"":45,""magnitude_rps"":4,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-45-magnitude_rps-4-start_s-420.forecast.csv,788a7b398cab759e8a4ea66756ffecc8083c57d2964a701c81692bcd86825ecf
gradual-ramp-v1__location__transition__duration_s-45-magnitude_rps-4-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.375,1.22474487139,0.375,4,4,45,0,0,0,"{""duration_s"":45,""magnitude_rps"":4,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-45-magnitude_rps-4-start_s-60.forecast.csv,51a9fbbfbd98edf4a5d065a82a0800f8ce2eb00ee26fadc17195f922ec5b9c6c
gradual-ramp-v1__location__stable__duration_s-45-magnitude_rps-6-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.5625,1.83711730709,0.5625,6,6,45,0,0,0,"{""duration_s"":45,""magnitude_rps"":6,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-45-magnitude_rps-6-start_s-420.forecast.csv,29b480b8bfab2a218685063cdd36be66a23f789873a829abf9f2b4c2dcd20947
gradual-ramp-v1__location__transition__duration_s-45-magnitude_rps-6-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.5625,1.83711730709,0.5625,6,6,45,0,0,0,"{""duration_s"":45,""magnitude_rps"":6,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-45-magnitude_rps-6-start_s-60.forecast.csv,561138862c9898f876f19989d51aa1abab6f64044f6c661ae7fb6e5ba9534c03
gradual-ramp-v1__location__stable__duration_s-45-magnitude_rps-8-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.75,2.44948974278,0.75,8,8,45,0,0,0,"{""duration_s"":45,""magnitude_rps"":8,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-45-magnitude_rps-8-start_s-420.forecast.csv,4bb02ba1d2d75497ea33bd84b65f7737939bb926454c52ce6276bb94a7a40ea4
gradual-ramp-v1__location__transition__duration_s-45-magnitude_rps-8-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.75,2.44948974278,0.75,8,8,45,0,0,0,"{""duration_s"":45,""magnitude_rps"":8,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-45-magnitude_rps-8-start_s-60.forecast.csv,af59ef3eae8da8283ef2abac42493be69f4bc3471c0d569be1982ade3f969c12
gradual-ramp-v1__location__stable__duration_s-45-magnitude_rps-10-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.9375,3.06186217848,0.9375,10,10,45,0,0,0,"{""duration_s"":45,""magnitude_rps"":10,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-45-magnitude_rps-10-start_s-420.forecast.csv,358b9eb8084a1f2764c59018aba38a662dfef0c5fb98567924d97f8940df6c29
gradual-ramp-v1__location__transition__duration_s-45-magnitude_rps-10-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.9375,3.06186217848,0.9375,10,10,45,0,0,7,"{""duration_s"":45,""magnitude_rps"":10,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-45-magnitude_rps-10-start_s-60.forecast.csv,23d0daa24da2cbce56ffb708d81a94b6857327beea20c1bd399a3e6fb8cec179
gradual-ramp-v1__location__stable__duration_s-60-magnitude_rps-4-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.5,1.41421356237,0.5,4,4,60,0,0,0,"{""duration_s"":60,""magnitude_rps"":4,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-60-magnitude_rps-4-start_s-420.forecast.csv,4e35d8d0d08bc1a54d3d4dfdaf9139075d7d6273c9ce68b209614b90205346f7
gradual-ramp-v1__location__transition__duration_s-60-magnitude_rps-4-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.5,1.41421356237,0.5,4,4,60,0,0,0,"{""duration_s"":60,""magnitude_rps"":4,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-60-magnitude_rps-4-start_s-60.forecast.csv,bb7438248960292ab5201119a4ec4051b4cecbe47d3612aa42694f037495eaf2
gradual-ramp-v1__location__stable__duration_s-60-magnitude_rps-6-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.75,2.12132034356,0.75,6,6,60,0,0,0,"{""duration_s"":60,""magnitude_rps"":6,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-60-magnitude_rps-6-start_s-420.forecast.csv,23864b254f2d35cfa1d6b47daed945feca70cca29a54b863414c874387fb067c
gradual-ramp-v1__location__transition__duration_s-60-magnitude_rps-6-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.75,2.12132034356,0.75,6,6,60,0,0,1,"{""duration_s"":60,""magnitude_rps"":6,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-60-magnitude_rps-6-start_s-60.forecast.csv,240792b638600d3a0ce70372163f98f8d86c6811ce040fb4ddde39c3a6372868
