trace_id,mutation_id,decision_seq,decision_offset_ms,forecast_target_offset_ms,oracle_rps,forecast_rps,oracle_raw_replicas,forecast_raw_replicas,oracle_commanded_replicas,forecast_commanded_replicas,forecast_action,forecast_scale_down_held
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,94,94000,100000,27.000000,37.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,95,95000,101000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,96,96000,102000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,97,97000,103000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,98,98000,104000,23.000000,33.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,99,99000,105000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,100,100000,106000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,101,101000,107000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,102,102000,108000,27.000000,37.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,103,103000,109000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,104,104000,110000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,105,105000,111000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,106,106000,112000,23.000000,33.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,107,107000,113000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,108,108000,114000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,109,109000,115000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,110,110000,116000,27.000000,37.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,111,111000,117000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,112,112000,118000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,113,113000,119000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,114,114000,120000,23.000000,23.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,115,115000,121000,24.000000,24.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,116,116000,122000,25.000000,25.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,117,117000,123000,26.000000,26.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,118,118000,124000,27.000000,27.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,119,119000,125000,26.000000,26.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,120,120000,126000,25.000000,25.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,121,121000,127000,24.000000,24.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,122,122000,128000,23.000000,23.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,123,123000,129000,24.000000,24.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,124,124000,130000,25.000000,25.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,125,125000,131000,26.000000,26.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,126,126000,132000,27.000000,27.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,127,127000,133000,26.000000,26.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,128,128000,134000,25.000000,25.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,129,129000,135000,24.000000,24.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,130,130000,136000,23.000000,23.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,131,131000,137000,24.000000,24.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,132,132000,138000,25.000000,25.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,133,133000,139000,26.000000,26.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,134,134000,140000,27.000000,27.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,135,135000,141000,26.000000,26.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,136,136000,142000,25.000000,25.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,137,137000,143000,24.000000,24.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,138,138000,144000,23.000000,23.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,139,139000,145000,24.000000,24.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,140,140000,146000,25.000000,25.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,141,141000,147000,26.000000,26.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,142,142000,148000,27.000000,27.000000,1,1,1,2,none,true
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,143,143000,149000,26.000000,26.000000,1,1,1,1,scale_down,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,144,144000,150000,25.000000,25.000000,1,1,1,1,none,false
