run_id,source_step,phase,pair_id,condition_side,condition,workload_id,repetition,safety_enabled,mae_rps,rmse_rps,transition_mae_rps,desired_replica_mae,deficient_replica_seconds,request_p99_latency_ms,slo_violation_seconds,excess_replica_seconds
final-p02-b-r05-s0,step15,primary,pair-02-duration,b,shortened_peak,sustained-peak-v1,5,False,2.9661016949152543,10.188893920442684,0.0,0.25,90,2048.546150000004,24,0
final-p02-b-r06-s0,step15,primary,pair-02-duration,b,shortened_peak,sustained-peak-v1,6,False,2.9661016949152543,10.188893920442684,0.0,0.25,90,1130.7508400000015,29,0
final-p07-b-r06-s0,step15,primary,pair-07-timing_spike,b,late_event,narrow-spike-v1,6,False,4.022988505747127,11.86611131336418,35.0,0.3333333333333333,30,2820.2766500000034,20,30
final-p07-a-r06-s0,step15,primary,pair-07-timing_spike,a,early_event,narrow-spike-v1,6,False,4.022988505747127,11.86611131336418,0.0,0.3333333333333333,30,33.727800000000045,12,30
final-p04-a-r06-s0,step15,primary,pair-04-location,a,stable_period_error,gradual-ramp-v1,6,False,1.0126582278481011,2.8462722678592804,0.0,0.1145833333333333,0,34.225019999999994,58,55
final-p05-b-r06-s0,step15,primary,pair-05-shape,b,smoothed,periodic-triangle-v1,6,False,0.2995643137254903,0.726681042587531,0.3386574566666668,0.0,0,33.04424999999996,100,0
final-p06-a-r06-s0,step15,primary,pair-06-timing_periodic,a,early_event,periodic-triangle-v1,6,False,6.5294117815126045,7.361835586127132,7.653333353333332,0.4583333333333333,165,33.504149999999974,105,165
final-p03-b-r06-s0,step15,primary,pair-03-event_presence,b,missed_peak,narrow-spike-v1,6,False,6.0344827586206895,14.532958974404494,17.5,1.0,180,3386.483,59,0
final-p06-b-r06-s0,step15,primary,pair-06-timing_periodic,b,late_event,periodic-triangle-v1,6,False,6.5294117815126045,7.361835586127132,7.667916686666666,0.4583333333333333,165,35.08431999999995,110,165
final-p03-a-r06-s0,step15,primary,pair-03-event_presence,a,false_peak,narrow-spike-v1,6,False,6.0344827586206895,14.532958974404494,0.0,0.6666666666666666,0,33.73191000000001,12,120
final-p02-a-r06-s0,step15,primary,pair-02-duration,a,extended_peak,sustained-peak-v1,6,False,2.9661016949152543,10.188893920442684,17.5,0.25,0,36.88011,24,90
final-p01-b-r06-s0,step15,primary,pair-01-direction_bias,b,persistent_positive_bias,sustained-peak-v1,6,False,5.0,5.0,5.0,0.0,0,38.698670000000014,19,0
final-p05-a-r06-s0,step15,primary,pair-05-shape,a,sharpened,periodic-triangle-v1,6,False,0.2995643137254903,0.7266810425875311,0.3386574566666668,0.0,0,31.05730999999995,103,0
final-p04-b-r06-s0,step15,primary,pair-04-location,b,transition_period_error,gradual-ramp-v1,6,False,1.0126582278481011,2.8462722678592804,1.6,0.1375,0,31.502039999999997,59,66
final-p01-a-r06-s0,step15,primary,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,6,False,5.0,5.0,5.0,0.5861111111111111,211,46.402620000000056,29,0
final-p07-b-r07-s0,step15,primary,pair-07-timing_spike,b,late_event,narrow-spike-v1,7,False,4.022988505747127,11.86611131336418,35.0,0.3333333333333333,30,2493.102730000002,17,30
final-p03-a-r07-s0,step15,primary,pair-03-event_presence,a,false_peak,narrow-spike-v1,7,False,6.0344827586206895,14.532958974404494,0.0,0.6666666666666666,0,29.385770000000008,10,120
final-p03-b-r07-s0,step15,primary,pair-03-event_presence,b,missed_peak,narrow-spike-v1,7,False,6.0344827586206895,14.532958974404494,17.5,1.0,180,5793.432070000001,76,0
final-p05-a-r07-s0,step15,primary,pair-05-shape,a,sharpened,periodic-triangle-v1,7,False,0.2995643137254903,0.7266810425875311,0.3386574566666668,0.0,0,30.219059999999992,108,0
final-p02-b-r07-s0,step15,primary,pair-02-duration,b,shortened_peak,sustained-peak-v1,7,False,2.9661016949152543,10.188893920442684,0.0,0.25,90,2473.235050000001,27,0
final-p04-b-r07-s0,step15,primary,pair-04-location,b,transition_period_error,gradual-ramp-v1,7,False,1.0126582278481011,2.8462722678592804,1.6,0.1375,0,31.54368999999997,58,66
final-p07-a-r07-s0,step15,primary,pair-07-timing_spike,a,early_event,narrow-spike-v1,7,False,4.022988505747127,11.86611131336418,0.0,0.3333333333333333,30,30.37046000000001,14,30
final-p06-b-r07-s0,step15,primary,pair-06-timing_periodic,b,late_event,periodic-triangle-v1,7,False,6.5294117815126045,7.361835586127132,7.667916686666666,0.4583333333333333,165,32.02130999999995,112,165
final-p05-b-r07-s0,step15,primary,pair-05-shape,b,smoothed,periodic-triangle-v1,7,False,0.2995643137254903,0.726681042587531,0.3386574566666668,0.0,0,30.128089999999982,107,0
final-p01-b-r07-s0,step15,primary,pair-01-direction_bias,b,persistent_positive_bias,sustained-peak-v1,7,False,5.0,5.0,5.0,0.0,0,34.93202,13,0
final-p04-a-r07-s0,step15,primary,pair-04-location,a,stable_period_error,gradual-ramp-v1,7,False,1.0126582278481011,2.8462722678592804,0.0,0.1145833333333333,0,31.000209999999885,60,55
final-p06-a-r07-s0,step15,primary,pair-06-timing_periodic,a,early_event,periodic-triangle-v1,7,False,6.5294117815126045,7.361835586127132,7.653333353333332,0.4583333333333333,165,29.80875999999988,106,165
final-p01-a-r07-s0,step15,primary,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,7,False,5.0,5.0,5.0,0.5861111111111111,211,51.68748000000003,23,0
final-p02-a-r07-s0,step15,primary,pair-02-duration,a,extended_peak,sustained-peak-v1,7,False,2.9661016949152543,10.188893920442684,17.5,0.25,0,33.07857000000001,13,90
final-p06-b-r08-s0,step15,primary,pair-06-timing_periodic,b,late_event,periodic-triangle-v1,8,False,6.5294117815126045,7.361835586127132,7.667916686666666,0.4583333333333333,165,33.41881999999987,104,165
final-p05-b-r08-s0,step15,primary,pair-05-shape,b,smoothed,periodic-triangle-v1,8,False,0.2995643137254903,0.726681042587531,0.3386574566666668,0.0,0,29.91713999999998,107,0
final-p01-b-r08-s0,step15,primary,pair-01-direction_bias,b,persistent_positive_bias,sustained-peak-v1,8,False,5.0,5.0,5.0,0.0,0,35.33209,15,0
final-p03-a-r08-s0,step15,primary,pair-03-event_presence,a,false_peak,narrow-spike-v1,8,False,6.0344827586206895,14.532958974404494,0.0,0.6666666666666666,0,30.016240000000003,10,120
final-p02-b-r08-s0,step15,primary,pair-02-duration,b,shortened_peak,sustained-peak-v1,8,False,2.9661016949152543,10.188893920442684,0.0,0.25,90,1348.5705800000014,20,0
final-p02-a-r08-s0,step15,primary,pair-02-duration,a,extended_peak,sustained-peak-v1,8,False,2.9661016949152543,10.188893920442684,17.5,0.25,0,33.850490000000015,22,90
final-p07-b-r08-s0,step15,primary,pair-07-timing_spike,b,late_event,narrow-spike-v1,8,False,4.022988505747127,11.86611131336418,35.0,0.3333333333333333,30,2840.528040000009,16,30
final-p05-a-r08-s0,step15,primary,pair-05-shape,a,sharpened,periodic-triangle-v1,8,False,0.2995643137254903,0.7266810425875311,0.3386574566666668,0.0,0,30.335099999999983,104,0
final-p04-a-r08-s0,step15,primary,pair-04-location,a,stable_period_error,gradual-ramp-v1,8,False,1.0126582278481011,2.8462722678592804,0.0,0.1145833333333333,0,30.87715999999997,72,55
final-p06-a-r08-s0,step15,primary,pair-06-timing_periodic,a,early_event,periodic-triangle-v1,8,False,6.5294117815126045,7.361835586127132,7.653333353333332,0.4583333333333333,165,29.835,99,165
final-p01-a-r08-s0,step15,primary,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,8,False,5.0,5.0,5.0,0.5861111111111111,211,47.01926,15,0
final-p04-b-r08-s0,step15,primary,pair-04-location,b,transition_period_error,gradual-ramp-v1,8,False,1.0126582278481011,2.8462722678592804,1.6,0.1375,0,31.69988999999994,61,66
final-p07-a-r08-s0,step15,primary,pair-07-timing_spike,a,early_event,narrow-spike-v1,8,False,4.022988505747127,11.86611131336418,0.0,0.3333333333333333,30,28.59620000000005,10,30
final-p03-b-r08-s0,step15,primary,pair-03-event_presence,b,missed_peak,narrow-spike-v1,8,False,6.0344827586206895,14.532958974404494,17.5,1.0,180,3527.1949600000003,61,0
final-p01-a-r01-s1,step16,secondary_safety,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,1,True,5.0,5.0,5.0,0.0666666666666666,7,34.63835,29,17
final-p03-b-r01-s1,step16,secondary_safety,pair-03-event_presence,b,missed_peak,narrow-spike-v1,1,True,6.0344827586206895,14.532958974404494,17.5,0.2,21,2854.296400000002,19,15
final-p01-a-r02-s1,step16,secondary_safety,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,2,True,5.0,5.0,5.0,0.0666666666666666,7,33.622720000000015,12,17
final-p03-b-r02-s1,step16,secondary_safety,pair-03-event_presence,b,missed_peak,narrow-spike-v1,2,True,6.0344827586206895,14.532958974404494,17.5,0.2,21,3061.3518400000057,18,15
final-p01-a-r03-s1,step16,secondary_safety,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,3,True,5.0,5.0,5.0,0.0666666666666666,7,35.44826000000005,26,17
final-p03-b-r03-s1,step16,secondary_safety,pair-03-event_presence,b,missed_peak,narrow-spike-v1,3,True,6.0344827586206895,14.532958974404494,17.5,0.2,21,2232.9247200000027,11,15
final-p01-a-r04-s1,step16,secondary_safety,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,4,True,5.0,5.0,5.0,0.0666666666666666,7,31.97507,7,17
final-p03-b-r04-s1,step16,secondary_safety,pair-03-event_presence,b,missed_peak,narrow-spike-v1,4,True,6.0344827586206895,14.532958974404494,17.5,0.2,21,2982.4361800000006,14,15
final-p01-a-r05-s1,step16,secondary_safety,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,5,True,5.0,5.0,5.0,0.0666666666666666,7,29.483320000000028,12,17
final-p03-b-r05-s1,step16,secondary_safety,pair-03-event_presence,b,missed_peak,narrow-spike-v1,5,True,6.0344827586206895,14.532958974404494,17.5,0.2,21,2355.5528000000004,13,15
